"CHICAGO_ATLAS_SIDE","count","proportion"
"Southwest",35,0.25735
"West",25,0.18382
"Far North",22,0.16176
"North",19,0.13971
"South ",18,0.13235
"Central",8,0.05882
"Far Southeast",4,0.02941
"Northwest",3,0.02206
"Far Southwest",2,0.01471
