"CHICAGO_ATLAS_SIDE","count","proportion"
"Far North",48,0.1791
"South ",47,0.17537
"West",46,0.17164
"Southwest",39,0.14552
"North",32,0.1194
"Central",30,0.11194
"Far Southeast",12,0.04478
"Northwest",10,0.03731
"Far Southwest",4,0.01493
