"Race_Ethnicity","count","proportion"
"White/Caucasian",95,0.40254
"Latinx/Latina/Latino",60,0.25424
"African/African American/Black",36,0.15254
"Asian/South Asian/Asian American/Pacific Islander",22,0.09322
"Multiracial/Biracial",14,0.05932
"Other",5,0.02119
"American Indian/Native American",3,0.01271
"Arab/Middle Eastern/North African",1,0.00424
